pair1,pair2,base_cor,base_pvalue,base_test,boot_mean,boot_median,confidence,boot_lowerCI,boot_upperCI,sig
age,peak,-0.396493668789715,0.201942086976751, ,-0.359379634439715,-0.380857674886388,0.95,-0.759034170340822,0.168786454212138, 
age,first_peak_day,-0.28495976921607,0.369320087080043, ,-0.267894315178138,-0.292330756354527,0.95,-0.829672100982218,0.429366277264377, 
age,high_shed_length,-0.156415004301205,0.627355841817377, ,-0.141381707677245,-0.161290322580645,0.95,-0.689536864512816,0.512796227235892, 
age,decay_length,0.189806971511575,0.554619352361647, ,0.191518509658413,0.192727909848542,0.95,-0.472356566850128,0.846330159432637, 
peak,first_peak_day,-0.0952417984616157,0.768427641160785, ,-0.0951377188604498,-0.102502533438837,0.95,-0.734211584033634,0.583638833225942, 
peak,high_shed_length,-0.381786925244399,0.220708015504403, ,-0.361538118267,-0.382487756357677,0.95,-0.884057971014493,0.315988582027095, 
peak,decay_length,0.0840631762006016,0.795062623505011, ,0.0813105452073257,0.0857142857142857,0.95,-0.494604710961282,0.647549972474559, 
first_peak_day,high_shed_length,0.247356000426751,0.438276462595669, ,0.238490419674558,0.271591877964161,0.95,-0.423430477244703,0.731435625187149, 
first_peak_day,decay_length,0.160781400277388,0.617651491787446, ,0.145420605383733,0.150712845950054,0.95,-0.505694067334591,0.75725297110262, 
high_shed_length,decay_length,-0.284210526315789,0.370635331816775, ,-0.277973264049267,-0.303150759973246,0.95,-0.86536922178941,0.445291090271659, 
