pair1,pair2,base_cor,base_pvalue,base_test,boot_mean,boot_median,confidence,boot_lowerCI,boot_upperCI,sig
age,peak,-0.590309802030211,0.026255367825797,*,-0.557258319645574,-0.585609350752113,0.95,-0.84615487289866,-0.117610330939608,*
age,first_peak_day,0.191584667490036,0.511739668781569, ,0.174246616828262,0.202029491152775,0.95,-0.520687952221234,0.719647654552368, 
age,high_shed_length,-0.30794701986755,0.284118910945737, ,-0.288582192079597,-0.301539697817316,0.95,-0.814577270285781,0.31163422266018, 
age,decay_length,0.0441014601011327,0.881002058432939, ,0.0513457976886374,0.0493829959705695,0.95,-0.552559364363217,0.672782388057226, 
peak,first_peak_day,-0.384536255596442,0.174604975248643, ,-0.36943171357451,-0.392824803882435,0.95,-0.874442231439409,0.299452515854531, 
peak,high_shed_length,-0.103524480206791,0.724697883057781, ,-0.0983785400875666,-0.102678571428571,0.95,-0.690061143869452,0.534078545662565, 
peak,decay_length,0.0946095181963199,0.747669031540366, ,0.0873964793361689,0.0933333333333334,0.95,-0.434399233121954,0.59908909478955, 
first_peak_day,high_shed_length,-0.0885940658913461,0.763281010037309, ,-0.0747560909786684,-0.0906772938475921,0.95,-0.560456392801336,0.482556769419274, 
first_peak_day,decay_length,0.0564164814859976,0.848085874271595, ,0.0538777818104072,0.0502273699065249,0.95,-0.532297988768647,0.652959517348707, 
high_shed_length,decay_length,-0.201764179962682,0.489116937445276, ,-0.193875845725149,-0.217489001796602,0.95,-0.777655886482017,0.491584654696398, 
